Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
Turkish Airlines,6/6/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,273"
Brussels Airlines,6/6/2022,TLV,VCE,BRU,16:05,22:50,7h 45m,1 stop,"1,316"
Brussels Airlines,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,479"
EL AL,6/6/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,505"
Austrian Airlines,6/6/2022,TLV,FCO,VIE,15:35,20:45,6h 10m,1 stop,"1,545"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,545"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,6:15,14:10,8h 55m,1 stop,"1,545"
Lufthansa,6/6/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,547"
Lufthansa,6/6/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,574"
Iberia,6/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,584"
Austrian Airlines,6/6/2022,TLV,NAP,VIE,6:15,14:05,8h 50m,1 stop,"1,623"
Lufthansa,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,625"
Turkish Airlines,6/6/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,648"
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,652"
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,652"
Brussels Airlines,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,766"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"1,855"
Iberia,6/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,988"
Brussels Airlines,6/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,190"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"2,318"
KLM,6/6/2022,TLV,FCO,AMS,4:45,11:50,8h 05m,1 stop,"2,388"
Lufthansa,6/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,460"
Lufthansa,6/6/2022,TLV,NAP,"FRA, MUC",8:00,16:45,9h 45m,2 stops,"3,345"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,389"
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,401"
Lufthansa,6/6/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,435"
