Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
Lufthansa,7/6/2022,TLV,VCE,"FRA, MUC",4:50,12:50,9h 00m,2 stops,"1,632"
Ryanair,7/6/2022,TLV,NAP,BUD,13:10,21:15,9h 05m,1 stop,751
Turkish Airlines,7/6/2022,TLV,FCO,IST,10:30,18:45,9h 15m,1 stop,"1,017"
Lufthansa,7/6/2022,TLV,VCE,"FRA, MUC",8:00,16:20,9h 20m,2 stops,"1,651"
Iberia,7/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,413"
Iberia,7/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"4,807"
Pegasus Airlines,7/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,934
Pegasus Airlines,7/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,174"
Pegasus Airlines,7/6/2022,TLV,VCE,SAW,5:10,13:50,9h 40m,1 stop,905
Turkish Airlines,7/6/2022,TLV,VCE,IST,10:30,19:10,9h 40m,1 stop,"1,240"
KLM,7/6/2022,TLV,VCE,AMS,4:45,13:25,9h 40m,1 stop,"1,583"
Ryanair,7/6/2022,TLV,NAP,VIE,12:10,20:55,9h 45m,1 stop,"1,080"
Lufthansa,7/6/2022,TLV,NAP,"FRA, MUC",8:00,16:45,9h 45m,2 stops,"1,710"
Air France,7/6/2022,TLV,NAP,CDG,7:50,16:40,9h 50m,1 stop,"1,089"
Wizz Air,7/7/2022,TLV,NAP,OTP,9:40,14:50,6h 10m,1 stop,350
Wizz Air,7/7/2022,TLV,VCE,"OTP, NAP",9:40,18:05,9h 25m,2 stops,381
Wizz Air,7/7/2022,TLV,FCO,,12:05,14:50,3h 45m,nonstop,390
Wizz Air,7/7/2022,TLV,FCO,CTA,11:10,16:50,6h 40m,1 stop,529
Air France,7/7/2022,TLV,VCE,CDG,16:30,22:55,7h 25m,1 stop,563
EL AL,7/7/2022,TLV,FCO,,18:00,20:40,3h 40m,nonstop,581
Turkish Airlines,7/7/2022,TLV,FCO,IST,16:40,0:15,8h 35m,1 stop,680
ITA Airways,7/7/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,684
ITA Airways,7/7/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,684
ITA Airways,7/7/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,702
ITA Airways,7/7/2022,TLV,NAP,FCO,15:15,22:45,8h 30m,1 stop,702
ITA Airways,7/7/2022,TLV,VCE,FCO,15:15,22:50,8h 35m,1 stop,702
BlueBird Airways,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,751
ITA Airways,7/7/2022,TLV,NAP,"FCO, LIN",15:15,22:55,8h 40m,2 stops,762
Aegean Airlines,7/7/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,808
Hahn Air Systems,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,813
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,872
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,893
Ryanair,7/7/2022,TLV,NAP,BGY,13:40,22:15,9h 35m,1 stop,917
BlueBird Airways,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,960
Aegean Airlines,7/7/2022,TLV,FCO,ATH,10:20,17:25,8h 05m,1 stop,"1,016"
Turkish Airlines,7/7/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,017"
Turkish Airlines,7/7/2022,TLV,FCO,IST,10:30,18:45,9h 15m,1 stop,"1,017"
Brussels Airlines,7/7/2022,TLV,VCE,BRU,16:05,22:50,7h 45m,1 stop,"1,030"
EL AL,7/7/2022,TLV,VCE,,6:00,8:50,3h 50m,nonstop,"1,040"
Turkish Airlines,7/7/2022,TLV,FCO,IST,7:00,14:25,8h 25m,1 stop,"1,046"
Brussels Airlines,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,061"
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,078"
Lufthansa,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,164"
Turkish Airlines,7/7/2022,TLV,NAP,IST,10:30,18:25,8h 55m,1 stop,"1,168"
Turkish Airlines,7/7/2022,TLV,NAP,IST,0:50,8:50,9h 00m,1 stop,"1,168"
Lufthansa,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,206"
EL AL,7/7/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,210"
LOT,7/7/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,"1,216"
Turkish Airlines,7/7/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,240"
Turkish Airlines,7/7/2022,TLV,VCE,IST,10:30,19:10,9h 40m,1 stop,"1,240"
Brussels Airlines,7/7/2022,TLV,VCE,BRU,4:50,11:55,8h 05m,1 stop,"1,286"
Brussels Airlines,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,288"
Lufthansa,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"1,370"
easyJet,7/7/2022,TLV,VCE,BSL,12:15,19:20,8h 05m,1 stop,"1,377"
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,"1,385"
EL AL,7/7/2022,TLV,VCE,FCO,18:00,22:50,5h 50m,1 stop,"1,447"
Austrian Airlines,7/7/2022,TLV,FCO,VIE,15:20,20:45,6h 25m,1 stop,"1,470"
Austrian Airlines,7/7/2022,TLV,VCE,VIE,15:20,21:35,7h 15m,1 stop,"1,470"
Brussels Airlines,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"1,479"
Lufthansa,7/7/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,494"
Lufthansa,7/7/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,511"
Lufthansa,7/7/2022,TLV,FCO,FRA,4:50,12:35,8h 45m,1 stop,"1,511"
Lufthansa,7/7/2022,TLV,FCO,FRA,4:50,13:50,10h 00m,1 stop,"1,523"
Lufthansa,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,562"
Lufthansa,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,585"
ISRAIR,7/7/2022,TLV,FCO,,15:40,18:25,3h 45m,nonstop,"1,631"
Iberia,7/7/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,631"
Lufthansa,7/7/2022,TLV,VCE,"FRA, MUC",4:50,12:50,9h 00m,2 stops,"1,651"
easyJet,7/7/2022,TLV,VCE,BER,13:50,20:20,7h 30m,1 stop,"1,655"
British Airways,7/7/2022,TLV,VCE,LHR,7:10,15:15,9h 05m,1 stop,"1,716"
British Airways,7/7/2022,TLV,FCO,LHR,7:10,15:50,9h 40m,1 stop,"1,879"
KLM,7/7/2022,TLV,VCE,AMS,4:45,13:25,9h 40m,1 stop,"1,897"
Lufthansa,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,074"
Iberia,7/7/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"2,123"
Wizz Air,7/7/2022,TLV,FCO,,12:05,14:50,3h 45m,nonstop,421
Wizz Air,7/7/2022,TLV,FCO,,12:05,14:50,3h 45m,nonstop,390
Wizz Air,7/7/2022,TLV,NAP,OTP,9:40,14:50,6h 10m,1 stop,350
EL AL,7/7/2022,TLV,FCO,,18:00,20:40,3h 40m,nonstop,581
ITA Airways,7/7/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,684
ITA Airways,7/7/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,684
BlueBird Airways,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,751
Hahn Air Systems,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,813
BlueBird Airways,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,960
Wizz Air,7/7/2022,TLV,VCE,"OTP, NAP",9:40,18:05,9h 25m,2 stops,381
Wizz Air,7/7/2022,TLV,FCO,CTA,11:10,16:50,6h 40m,1 stop,529
Air France,7/7/2022,TLV,VCE,CDG,16:30,22:55,7h 25m,1 stop,563
Turkish Airlines,7/7/2022,TLV,FCO,IST,16:40,0:15,8h 35m,1 stop,680
ITA Airways,7/7/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,702
ITA Airways,7/7/2022,TLV,NAP,FCO,15:15,22:45,8h 30m,1 stop,702
ITA Airways,7/7/2022,TLV,VCE,FCO,15:15,22:50,8h 35m,1 stop,702
Aegean Airlines,7/7/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,808
EL AL,7/7/2022,TLV,VCE,,6:00,8:50,3h 50m,nonstop,"1,040"
EL AL,7/7/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,210"
ITA Airways,7/7/2022,TLV,NAP,"FCO, LIN",15:15,22:55,8h 40m,2 stops,762
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,872
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,893
Ryanair,7/7/2022,TLV,NAP,BGY,13:40,22:15,9h 35m,1 stop,917
Aegean Airlines,7/7/2022,TLV,FCO,ATH,10:20,17:25,8h 05m,1 stop,"1,016"
Turkish Airlines,7/7/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,017"
Turkish Airlines,7/7/2022,TLV,FCO,IST,10:30,18:45,9h 15m,1 stop,"1,017"
Brussels Airlines,7/7/2022,TLV,VCE,BRU,16:05,22:50,7h 45m,1 stop,"1,030"
Turkish Airlines,7/7/2022,TLV,FCO,IST,7:00,14:25,8h 25m,1 stop,"1,046"
Brussels Airlines,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,061"
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,078"
Lufthansa,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,164"
Turkish Airlines,7/7/2022,TLV,NAP,IST,10:30,18:25,8h 55m,1 stop,"1,168"
Lufthansa,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,206"
LOT,7/7/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,"1,216"
Brussels Airlines,7/7/2022,TLV,VCE,BRU,4:50,11:55,8h 05m,1 stop,"1,286"
Brussels Airlines,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,288"
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,"1,385"
EL AL,7/7/2022,TLV,VCE,FCO,18:00,22:50,5h 50m,1 stop,"1,447"
Austrian Airlines,7/7/2022,TLV,FCO,VIE,15:20,20:45,6h 25m,1 stop,"1,470"
Austrian Airlines,7/7/2022,TLV,VCE,VIE,15:20,21:35,7h 15m,1 stop,"1,470"
ISRAIR,7/7/2022,TLV,FCO,,15:40,18:25,3h 45m,nonstop,"1,631"
Turkish Airlines,7/7/2022,TLV,NAP,IST,0:50,8:50,9h 00m,1 stop,"1,168"
Turkish Airlines,7/7/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,240"
Turkish Airlines,7/7/2022,TLV,VCE,IST,10:30,19:10,9h 40m,1 stop,"1,240"
Lufthansa,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"1,370"
easyJet,7/7/2022,TLV,VCE,BSL,12:15,19:20,8h 05m,1 stop,"1,377"
Brussels Airlines,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"1,479"
Lufthansa,7/7/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,494"
Lufthansa,7/7/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,511"
Lufthansa,7/7/2022,TLV,FCO,FRA,4:50,12:35,8h 45m,1 stop,"1,511"
Lufthansa,7/7/2022,TLV,FCO,FRA,4:50,13:50,10h 00m,1 stop,"1,523"
Lufthansa,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,562"
Lufthansa,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,585"
Iberia,7/7/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,631"
Lufthansa,7/7/2022,TLV,VCE,"FRA, MUC",4:50,12:50,9h 00m,2 stops,"1,651"
easyJet,7/7/2022,TLV,VCE,BER,13:50,20:20,7h 30m,1 stop,"1,655"
British Airways,7/7/2022,TLV,VCE,LHR,7:10,15:15,9h 05m,1 stop,"1,716"
British Airways,7/7/2022,TLV,FCO,LHR,7:10,15:50,9h 40m,1 stop,"1,879"
KLM,7/7/2022,TLV,VCE,AMS,4:45,13:25,9h 40m,1 stop,"1,897"
Lufthansa,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,074"
Iberia,7/7/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"2,123"
EL AL,7/7/2022,TLV,FCO,,18:00,20:40,3h 40m,nonstop,581
EL AL,7/7/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,210"
Wizz Air,7/7/2022,TLV,FCO,,12:05,14:50,3h 45m,nonstop,390
ITA Airways,7/7/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,684
ITA Airways,7/7/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,684
BlueBird Airways,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,751
Hahn Air Systems,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,813
BlueBird Airways,7/7/2022,TLV,FCO,,15:10,17:55,3h 45m,nonstop,960
ISRAIR,7/7/2022,TLV,FCO,,15:40,18:25,3h 45m,nonstop,"1,631"
EL AL,7/7/2022,TLV,VCE,,6:00,8:50,3h 50m,nonstop,"1,040"
Aegean Airlines,7/7/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,808
EL AL,7/7/2022,TLV,VCE,FCO,18:00,22:50,5h 50m,1 stop,"1,447"
Wizz Air,7/7/2022,TLV,NAP,OTP,9:40,14:50,6h 10m,1 stop,350
Turkish Airlines,7/7/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,017"
ITA Airways,7/7/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,702
Brussels Airlines,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,061"
Lufthansa,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,164"
Austrian Airlines,7/7/2022,TLV,FCO,VIE,15:20,20:45,6h 25m,1 stop,"1,470"
Lufthansa,7/7/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,562"
Wizz Air,7/7/2022,TLV,FCO,CTA,11:10,16:50,6h 40m,1 stop,529
Lufthansa,7/7/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,494"
LOT,7/7/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,"1,216"
Austrian Airlines,7/7/2022,TLV,VCE,VIE,15:20,21:35,7h 15m,1 stop,"1,470"
Air France,7/7/2022,TLV,VCE,CDG,16:30,22:55,7h 25m,1 stop,563
Lufthansa,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,206"
Brussels Airlines,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,288"
Lufthansa,7/7/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,585"
easyJet,7/7/2022,TLV,VCE,BER,13:50,20:20,7h 30m,1 stop,"1,655"
Brussels Airlines,7/7/2022,TLV,VCE,BRU,16:05,22:50,7h 45m,1 stop,"1,030"
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,893
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,"1,385"
Lufthansa,7/7/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,511"
Aegean Airlines,7/7/2022,TLV,FCO,ATH,10:20,17:25,8h 05m,1 stop,"1,016"
Brussels Airlines,7/7/2022,TLV,VCE,BRU,4:50,11:55,8h 05m,1 stop,"1,286"
easyJet,7/7/2022,TLV,VCE,BSL,12:15,19:20,8h 05m,1 stop,"1,377"
KLM,7/7/2022,TLV,FCO,AMS,4:45,11:50,8h 05m,1 stop,"2,383"
Lufthansa,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"1,370"
Brussels Airlines,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"1,479"
Lufthansa,7/7/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,074"
Turkish Airlines,7/7/2022,TLV,FCO,IST,7:00,14:25,8h 25m,1 stop,"1,046"
ITA Airways,7/7/2022,TLV,NAP,FCO,15:15,22:45,8h 30m,1 stop,702
Turkish Airlines,7/7/2022,TLV,FCO,IST,16:40,0:15,8h 35m,1 stop,680
ITA Airways,7/7/2022,TLV,VCE,FCO,15:15,22:50,8h 35m,1 stop,702
ITA Airways,7/7/2022,TLV,NAP,"FCO, LIN",15:15,22:55,8h 40m,2 stops,762
Turkish Airlines,7/7/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,240"
Lufthansa,7/7/2022,TLV,FCO,FRA,4:50,12:35,8h 45m,1 stop,"1,511"
Austrian Airlines,7/7/2022,TLV,NAP,VIE,6:15,14:05,8h 50m,1 stop,"2,285"
Turkish Airlines,7/7/2022,TLV,NAP,IST,10:30,18:25,8h 55m,1 stop,"1,168"
Austrian Airlines,7/7/2022,TLV,VCE,VIE,6:15,14:10,8h 55m,1 stop,"2,209"
Turkish Airlines,7/7/2022,TLV,NAP,IST,0:50,8:50,9h 00m,1 stop,"1,168"
Lufthansa,7/7/2022,TLV,VCE,"FRA, MUC",4:50,12:50,9h 00m,2 stops,"1,651"
British Airways,7/7/2022,TLV,VCE,LHR,7:10,15:15,9h 05m,1 stop,"1,716"
Turkish Airlines,7/7/2022,TLV,FCO,IST,10:30,18:45,9h 15m,1 stop,"1,017"
Wizz Air,7/7/2022,TLV,VCE,"OTP, NAP",9:40,18:05,9h 25m,2 stops,381
Iberia,7/7/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,631"
Iberia,7/7/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"2,123"
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,872
Ryanair,7/7/2022,TLV,NAP,BGY,13:40,22:15,9h 35m,1 stop,917
Pegasus Airlines,7/7/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,078"
Turkish Airlines,7/7/2022,TLV,VCE,IST,10:30,19:10,9h 40m,1 stop,"1,240"
Wizz Air,8/6/2022,TLV,FCO,,22:25,1:15,3h 50m,nonstop,160
Wizz Air,8/6/2022,TLV,NAP,,20:20,22:40,3h 20m,nonstop,160
Wizz Air,8/6/2022,TLV,FCO,,22:25,1:15,3h 50m,nonstop,160
Ryanair,8/6/2022,TLV,NAP,,20:35,22:50,3h 15m,nonstop,392
ITA Airways,8/6/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,467
ITA Airways,8/6/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,532
Ryanair,8/6/2022,TLV,FCO,BRI,18:35,0:45,7h 10m,1 stop,299
ITA Airways,8/6/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,460
ITA Airways,8/6/2022,TLV,VCE,FCO,15:15,22:50,8h 35m,1 stop,535
ITA Airways,8/6/2022,TLV,NAP,FCO,15:15,22:45,8h 30m,1 stop,542
LOT,8/6/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,582
ITA Airways,8/6/2022,TLV,NAP,FCO,5:15,14:15,10h 00m,1 stop,617
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,645
Turkish Airlines,8/6/2022,TLV,FCO,IST,16:40,0:15,8h 35m,1 stop,680
Wizz Air,8/6/2022,TLV,TSF,CLJ,10:25,16:10,6h 45m,1 stop,684
Aegean Airlines,8/6/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,782
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,791
Ryanair,8/6/2022,TLV,FCO,BER,12:55,19:50,7h 55m,1 stop,820
Ryanair,8/6/2022,TLV,VCE,VIE,12:00,18:45,7h 45m,1 stop,834
Ryanair,8/6/2022,TLV,NAP,VIE,12:00,20:00,9h 00m,1 stop,887
Air France,8/6/2022,TLV,VCE,CDG,16:30,23:20,7h 50m,1 stop,926
Ryanair,8/6/2022,TLV,NAP,BGY,11:45,18:00,7h 15m,1 stop,"1,010"
Turkish Airlines,8/6/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,017"
Turkish Airlines,8/6/2022,TLV,FCO,IST,10:30,18:45,9h 15m,1 stop,"1,017"
Lufthansa,8/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,021"
Brussels Airlines,8/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,078"
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,5:10,10:50,6h 40m,1 stop,"1,141"
Turkish Airlines,8/6/2022,TLV,NAP,IST,10:30,18:25,8h 55m,1 stop,"1,168"
Turkish Airlines,8/6/2022,TLV,FCO,IST,7:00,14:25,8h 25m,1 stop,"1,199"
Turkish Airlines,8/6/2022,TLV,VCE,IST,14:20,19:10,5h 50m,1 stop,"1,240"
Egypt Air,8/6/2022,TLV,FCO,CAI,12:15,17:20,6h 05m,1 stop,"1,415"
Iberia,8/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,124"
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,141"
Turkish Airlines,8/6/2022,TLV,VCE,IST,0:50,8:30,8h 40m,1 stop,"1,240"
Turkish Airlines,8/6/2022,TLV,VCE,IST,10:30,19:10,9h 40m,1 stop,"1,240"
Brussels Airlines,8/6/2022,TLV,VCE,BRU,4:50,11:55,8h 05m,1 stop,"1,286"
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,5:10,10:50,6h 40m,1 stop,"1,354"
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,5:10,13:45,9h 35m,1 stop,"1,354"
Air France,8/6/2022,TLV,NAP,CDG,7:50,16:40,9h 50m,1 stop,"1,395"
Brussels Airlines,8/6/2022,TLV,FCO,"FRA, BRU",8:00,17:00,10h 00m,2 stops,"1,464"
Austrian Airlines,8/6/2022,TLV,FCO,VIE,15:35,20:45,6h 10m,1 stop,"1,470"
Austrian Airlines,8/6/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,470"
Austrian Airlines,8/6/2022,TLV,VCE,VIE,6:15,14:10,8h 55m,1 stop,"1,470"
Lufthansa,8/6/2022,TLV,VCE,MUC,7:15,12:50,6h 35m,1 stop,"1,494"
Lufthansa,8/6/2022,TLV,VCE,FRA,8:00,13:50,6h 50m,1 stop,"1,511"
Lufthansa,8/6/2022,TLV,FCO,FRA,16:30,23:25,7h 55m,1 stop,"1,511"
Lufthansa,8/6/2022,TLV,FCO,FRA,4:50,12:35,8h 45m,1 stop,"1,511"
Lufthansa,8/6/2022,TLV,VCE,FRA,4:50,13:50,10h 00m,1 stop,"1,511"
Lufthansa,8/6/2022,TLV,FCO,FRA,4:50,13:50,10h 00m,1 stop,"1,521"
Air France,8/6/2022,TLV,VCE,CDG,7:50,14:25,7h 35m,1 stop,"1,557"
Lufthansa,8/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,562"
Lufthansa,8/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,585"
Lufthansa,8/6/2022,TLV,VCE,"FRA, MUC",4:50,12:50,9h 00m,2 stops,"1,632"
Lufthansa,8/6/2022,TLV,NAP,"FRA, MUC",8:00,16:45,9h 45m,2 stops,"1,710"
Brussels Airlines,8/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,175"
Lufthansa,8/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,328"
KLM,8/6/2022,TLV,FCO,AMS,4:45,11:50,8h 05m,1 stop,"2,379"
Ryanair,8/6/2022,TLV,NAP,,20:35,22:50,3h 15m,nonstop,392
Wizz Air,8/6/2022,TLV,NAP,,20:20,22:40,3h 20m,nonstop,160
ITA Airways,8/6/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,467
ITA Airways,8/6/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,532
Wizz Air,8/6/2022,TLV,FCO,,22:25,1:15,3h 50m,nonstop,160
Aegean Airlines,8/6/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,782
Turkish Airlines,8/6/2022,TLV,VCE,IST,14:20,19:10,5h 50m,1 stop,"1,240"
Egypt Air,8/6/2022,TLV,FCO,CAI,12:15,17:20,6h 05m,1 stop,"1,415"
Turkish Airlines,8/6/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,017"
Austrian Airlines,8/6/2022,TLV,FCO,VIE,15:35,20:45,6h 10m,1 stop,"1,470"
ITA Airways,8/6/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,460
Lufthansa,8/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,562"
Lufthansa,8/6/2022,TLV,VCE,MUC,7:15,12:50,6h 35m,1 stop,"1,494"
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,5:10,10:50,6h 40m,1 stop,"1,141"
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,5:10,10:50,6h 40m,1 stop,"1,354"
Wizz Air,8/6/2022,TLV,TSF,CLJ,10:25,16:10,6h 45m,1 stop,684
Lufthansa,8/6/2022,TLV,VCE,FRA,8:00,13:50,6h 50m,1 stop,"1,511"
Austrian Airlines,8/6/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,470"
Ryanair,8/6/2022,TLV,FCO,BRI,18:35,0:45,7h 10m,1 stop,299
LOT,8/6/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,582
Ryanair,8/6/2022,TLV,NAP,BGY,11:45,18:00,7h 15m,1 stop,"1,010"
Lufthansa,8/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,021"
Brussels Airlines,8/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,078"
Lufthansa,8/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,585"
Air France,8/6/2022,TLV,VCE,CDG,7:50,14:25,7h 35m,1 stop,"1,557"
Ryanair,8/6/2022,TLV,VCE,VIE,12:00,18:45,7h 45m,1 stop,834
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,645
Pegasus Airlines,8/6/2022,TLV,FCO,SAW,6:55,13:45,7h 50m,1 stop,791
